iter	Passed	Remaining
0	0	807
1	1	754
2	2	715
3	2	701
4	3	686
5	4	671
6	4	660
7	5	654
8	5	649
9	6	649
10	7	673
11	8	678
12	8	669
13	9	663
14	10	657
15	10	655
16	11	652
17	11	652
18	12	648
19	13	647
20	13	645
21	14	642
22	15	639
23	15	636
24	16	633
25	16	630
26	17	627
27	18	626
28	18	624
29	19	624
30	19	622
31	20	620
32	21	620
33	21	620
34	22	622
35	23	622
36	23	620
37	24	619
38	25	618
39	25	618
40	26	615
41	26	614
42	27	611
43	28	612
44	28	610
45	29	609
46	29	607
47	30	606
48	31	606
49	31	604
50	32	603
51	33	602
52	33	601
53	34	600
54	34	600
55	35	600
56	36	600
57	37	601
58	37	602
59	38	601
60	39	600
61	39	600
62	40	599
63	40	598
64	41	595
65	42	594
66	42	593
67	43	592
68	43	591
69	44	590
70	45	589
71	45	588
72	46	587
73	46	585
74	47	584
75	47	583
76	48	583
77	49	582
78	49	581
79	50	580
80	51	580
81	51	580
82	52	577
83	52	577
84	53	576
85	54	576
86	54	576
87	55	575
88	56	574
89	56	573
90	57	573
91	57	572
92	58	571
93	59	571
94	59	570
95	60	570
96	61	569
97	61	569
98	62	568
99	63	567
100	63	567
101	64	567
102	65	566
103	65	566
104	66	566
105	67	567
106	68	570
107	69	571
108	70	573
109	71	574
110	71	575
111	72	574
112	73	573
113	73	571
114	74	571
115	74	570
116	75	567
117	75	566
118	76	565
119	76	564
120	77	563
121	78	561
122	78	560
123	79	559
124	79	557
125	80	556
126	80	554
127	81	553
128	82	554
129	83	558
130	84	561
131	85	560
132	85	559
133	86	558
134	86	557
135	87	556
136	88	554
137	88	553
138	89	552
139	89	551
140	90	550
141	90	548
142	91	547
143	91	545
144	92	544
145	92	543
146	93	542
147	94	541
148	94	540
149	95	539
150	95	538
151	96	538
152	97	539
153	98	538
154	98	538
155	99	537
156	99	536
157	100	535
158	101	534
159	101	533
160	101	531
161	102	530
162	103	529
163	103	528
164	104	527
165	104	526
166	105	525
167	105	524
168	106	523
169	107	522
170	107	521
171	108	520
172	108	519
173	109	518
174	109	517
175	110	516
176	110	515
177	111	515
178	112	515
179	112	514
180	113	513
181	114	512
182	114	511
183	115	510
184	115	509
185	116	508
186	116	507
187	117	506
188	117	505
189	118	504
190	118	503
191	119	502
192	120	501
193	120	500
194	121	499
195	121	499
196	122	498
197	122	497
198	123	496
199	124	496
200	124	495
201	125	495
202	126	495
203	126	495
204	127	494
205	128	494
206	128	493
207	129	492
208	129	491
209	130	490
210	131	489
211	131	489
212	132	488
213	132	487
214	133	486
215	133	485
216	134	485
217	134	484
218	135	483
219	135	482
220	136	481
221	137	480
222	137	479
223	138	478
224	138	478
225	139	477
226	140	477
227	140	477
228	141	477
229	142	476
230	143	476
231	143	475
232	144	474
233	144	473
234	145	472
235	145	472
236	146	471
237	146	470
238	147	469
239	148	468
240	148	467
241	149	467
242	149	466
243	150	465
244	150	464
245	151	464
246	152	463
247	152	462
248	153	461
249	153	461
250	154	460
251	154	459
252	155	458
253	155	457
254	156	457
255	157	456
256	157	456
257	158	455
258	158	454
259	159	454
260	160	453
261	160	452
262	161	451
263	161	451
264	162	450
265	162	449
266	163	448
267	164	447
268	164	447
269	165	446
270	165	445
271	166	444
272	166	444
273	167	443
274	167	442
275	168	441
276	169	441
277	169	440
278	170	439
279	170	439
280	171	438
281	172	438
282	172	437
283	173	436
284	173	436
285	174	435
286	174	434
287	175	433
288	176	433
289	176	432
290	177	431
291	177	430
292	178	430
293	178	429
294	179	428
295	180	428
296	180	427
297	181	426
298	181	425
299	182	425
300	182	424
301	183	423
302	183	423
303	184	422
304	185	421
305	185	421
306	186	420
307	186	419
308	187	419
309	188	418
310	188	418
311	189	417
312	189	416
313	190	415
314	190	414
315	191	414
316	191	413
317	192	412
318	193	412
319	193	411
320	194	410
321	194	409
322	195	409
323	195	408
324	196	407
325	196	407
326	197	406
327	198	405
328	198	405
329	199	404
330	199	403
331	200	402
332	200	402
333	201	401
334	202	401
335	202	400
336	203	400
337	203	399
338	204	398
339	205	398
340	205	397
341	206	396
342	206	396
343	207	395
344	207	394
345	208	393
346	208	393
347	209	392
348	209	391
349	210	390
350	211	390
351	211	389
352	212	388
353	212	388
354	213	387
355	213	386
356	214	385
357	214	385
358	215	384
359	215	383
360	216	383
361	217	382
362	217	382
363	218	381
364	219	381
365	219	380
366	220	379
367	220	378
368	221	378
369	221	377
370	222	377
371	222	376
372	223	375
373	224	374
374	224	374
375	225	373
376	225	373
377	226	372
378	226	371
379	227	371
380	227	370
381	228	369
382	228	368
383	229	368
384	230	367
385	230	366
386	231	366
387	231	365
388	232	365
389	233	364
390	233	364
391	234	363
392	234	362
393	235	362
394	236	361
395	236	360
396	237	360
397	237	359
398	238	358
399	238	358
400	239	357
401	240	357
402	240	356
403	241	355
404	241	355
405	242	354
406	242	353
407	243	353
408	243	352
409	244	351
410	245	351
411	245	350
412	246	349
413	246	349
414	247	348
415	248	348
416	248	347
417	249	346
418	249	346
419	250	345
420	250	344
421	251	344
422	251	343
423	252	342
424	252	342
425	253	341
426	254	340
427	254	340
428	255	339
429	255	338
430	256	338
431	256	337
432	257	336
433	257	336
434	258	335
435	258	334
436	259	334
437	259	333
438	260	332
439	260	332
440	261	331
441	262	331
442	262	330
443	263	329
444	264	329
445	264	328
446	265	327
447	265	327
448	266	326
449	266	326
450	267	325
451	267	324
452	268	324
453	269	323
454	269	323
455	270	322
456	270	321
457	271	321
458	272	320
459	272	320
460	273	319
461	273	318
462	274	318
463	274	317
464	275	316
465	275	316
466	276	315
467	277	315
468	277	314
469	278	314
470	279	313
471	279	312
472	280	312
473	280	311
474	281	310
475	281	310
476	282	309
477	283	309
478	283	308
479	284	307
480	284	307
481	285	306
482	285	305
483	286	305
484	286	304
485	287	303
486	287	303
487	288	302
488	289	302
489	289	301
490	290	300
491	290	300
492	291	299
493	291	298
494	292	298
495	293	297
496	293	297
497	294	296
498	294	296
499	295	295
500	296	294
501	296	294
502	297	293
503	298	293
504	298	293
505	299	292
506	300	292
507	301	291
508	301	291
509	302	290
510	303	290
511	303	289
512	304	289
513	305	288
514	305	287
515	306	287
516	306	286
517	307	286
518	308	285
519	308	284
520	309	284
521	309	283
522	310	283
523	310	282
524	311	281
525	312	281
526	312	280
527	313	279
528	313	279
529	314	278
530	314	278
531	315	277
532	315	276
533	316	276
534	316	275
535	317	274
536	318	274
537	318	273
538	319	272
539	319	272
540	320	271
541	320	271
542	321	270
543	321	269
544	322	269
545	323	268
546	323	268
547	324	267
548	325	267
549	325	266
550	326	265
551	326	265
552	327	264
553	328	264
554	328	263
555	329	262
556	329	262
557	330	261
558	330	261
559	331	260
560	332	259
561	332	259
562	333	258
563	333	258
564	334	257
565	334	256
566	335	256
567	336	255
568	336	254
569	337	254
570	338	254
571	338	253
572	339	252
573	339	252
574	340	251
575	341	251
576	341	250
577	342	249
578	342	249
579	343	248
580	344	248
581	344	247
582	345	246
583	345	246
584	346	245
585	346	245
586	347	244
587	347	243
588	348	243
589	349	242
590	349	241
591	350	241
592	350	240
593	351	239
594	351	239
595	352	238
596	353	238
597	353	237
598	354	237
599	354	236
600	355	236
601	356	235
602	356	234
603	357	234
604	357	233
605	358	232
606	358	232
607	359	231
608	359	231
609	360	230
610	360	229
611	361	229
612	362	228
613	362	228
614	363	227
615	363	226
616	364	226
617	365	225
618	365	225
619	366	224
620	366	223
621	367	223
622	368	222
623	368	222
624	369	221
625	369	220
626	370	220
627	370	219
628	371	219
629	372	218
630	372	217
631	373	217
632	373	216
633	374	216
634	374	215
635	375	214
636	375	214
637	376	213
638	376	212
639	377	212
640	378	211
641	378	211
642	379	210
643	379	209
644	380	209
645	380	208
646	381	207
647	381	207
648	382	206
649	383	206
650	384	205
651	384	205
652	385	204
653	385	204
654	386	203
655	386	202
656	387	202
657	387	201
658	388	200
659	388	200
660	389	199
661	390	199
662	390	198
663	391	198
664	392	197
665	392	196
666	393	196
667	393	195
668	394	195
669	394	194
670	395	193
671	396	193
672	396	192
673	397	192
674	397	191
675	398	191
676	399	190
677	399	189
678	400	189
679	400	188
680	401	188
681	401	187
682	402	186
683	403	186
684	403	185
685	404	184
686	404	184
687	405	183
688	405	183
689	406	182
690	406	181
691	407	181
692	408	180
693	408	180
694	409	179
695	409	179
696	410	178
697	411	177
698	412	177
699	412	176
700	413	176
701	414	175
702	414	175
703	415	174
704	415	173
705	416	173
706	416	172
707	417	172
708	418	171
709	418	170
710	419	170
711	419	169
712	420	169
713	420	168
714	421	167
715	421	167
716	422	166
717	423	166
718	423	165
719	424	165
720	424	164
721	425	163
722	426	163
723	426	162
724	427	162
725	427	161
726	428	160
727	429	160
728	429	159
729	430	159
730	430	158
731	431	157
732	432	157
733	432	156
734	433	156
735	433	155
736	434	154
737	434	154
738	435	153
739	435	153
740	436	152
741	436	151
742	437	151
743	437	150
744	438	150
745	439	149
746	439	148
747	440	148
748	440	147
749	441	147
750	441	146
751	442	145
752	443	145
753	443	144
754	444	144
755	445	143
756	445	143
757	446	142
758	446	141
759	447	141
760	447	140
761	448	140
762	448	139
763	449	138
764	450	138
765	450	137
766	451	137
767	451	136
768	452	135
769	452	135
770	453	134
771	454	134
772	454	133
773	455	132
774	455	132
775	456	131
776	456	131
777	457	130
778	458	129
779	458	129
780	459	128
781	459	128
782	460	127
783	460	126
784	461	126
785	461	125
786	462	125
787	463	124
788	463	123
789	464	123
790	464	122
791	465	122
792	465	121
793	466	120
794	466	120
795	467	119
796	468	119
797	468	118
798	469	118
799	469	117
800	470	116
801	470	116
802	471	115
803	471	115
804	472	114
805	473	113
806	473	113
807	474	112
808	475	112
809	475	111
810	476	110
811	476	110
812	477	109
813	477	109
814	478	108
815	478	107
816	479	107
817	479	106
818	480	106
819	481	105
820	481	105
821	482	104
822	482	103
823	483	103
824	483	102
825	484	102
826	485	101
827	485	100
828	486	100
829	486	99
830	487	99
831	487	98
832	488	97
833	489	97
834	489	96
835	490	96
836	491	95
837	491	95
838	492	94
839	492	93
840	493	93
841	494	92
842	494	92
843	495	91
844	495	90
845	496	90
846	496	89
847	497	89
848	497	88
849	498	87
850	499	87
851	499	86
852	500	86
853	500	85
854	501	85
855	501	84
856	502	83
857	503	83
858	503	82
859	504	82
860	505	81
861	505	80
862	506	80
863	506	79
864	507	79
865	507	78
866	508	77
867	508	77
868	509	76
869	510	76
870	510	75
871	511	75
872	511	74
873	512	73
874	512	73
875	513	72
876	513	72
877	514	71
878	514	70
879	515	70
880	516	69
881	516	69
882	517	68
883	517	67
884	518	67
885	518	66
886	519	66
887	520	65
888	520	65
889	521	64
890	521	63
891	522	63
892	522	62
893	523	62
894	524	61
895	524	60
896	525	60
897	525	59
898	526	59
899	527	58
900	527	57
901	528	57
902	528	56
903	529	56
904	529	55
905	530	55
906	531	54
907	531	53
908	532	53
909	532	52
910	533	52
911	534	51
912	534	50
913	535	50
914	535	49
915	536	49
916	537	48
917	537	48
918	538	47
919	538	46
920	539	46
921	540	45
922	540	45
923	541	44
924	541	43
925	542	43
926	542	42
927	543	42
928	543	41
929	544	40
930	545	40
931	545	39
932	546	39
933	546	38
934	547	38
935	547	37
936	548	36
937	549	36
938	549	35
939	550	35
940	550	34
941	551	33
942	551	33
